date,value
1971-02-05,100.00
1971-02-08,100.84
1971-02-09,100.76
1971-02-10,100.69
1971-02-11,101.45
1971-02-12,102.05
1971-02-16,102.19
1971-02-17,101.74
1971-02-18,101.42
1971-02-19,100.70
1971-02-22,99.68
1971-02-23,99.72
1971-02-24,100.64
1971-02-25,101.23
1971-02-26,101.34
1971-03-01,101.78
1971-03-02,101.84
1971-03-03,102.07
1971-03-04,102.78
1971-03-05,103.51
1971-03-08,104.23
1971-03-09,104.41
1971-03-10,104.14
1971-03-11,104.26
1971-03-12,104.50
1971-03-15,105.13
1971-03-16,105.56
1971-03-17,105.50
1971-03-18,105.88
1971-03-19,105.77
1971-03-22,105.37
1971-03-23,105.11
1971-03-24,104.70
1971-03-25,104.60
1971-03-26,105.07
1971-03-29,105.20
1971-03-30,105.44
1971-03-31,105.97
1971-04-01,106.34
1971-04-02,106.86
1971-04-05,107.17
1971-04-06,107.56
1971-04-07,108.06
1971-04-08,108.38
1971-04-12,108.87
1971-04-13,108.85
1971-04-14,109.08
1971-04-15,109.69
1971-04-16,109.96
1971-04-19,110.16
1971-04-20,109.53
1971-04-21,109.52
1971-04-22,109.99
1971-04-23,110.69
1971-04-26,111.13
1971-04-27,111.69
1971-04-28,112.37
1971-04-29,112.46
1971-04-30,112.30
1971-05-03,111.35
1971-05-04,111.77
1971-05-05,111.68
1971-05-06,111.06
1971-05-07,110.66
1971-05-10,110.15
1971-05-11,110.33
1971-05-12,110.37
1971-05-13,110.55
1971-05-14,110.74
1971-05-17,109.15
1971-05-18,108.40
1971-05-19,108.33
1971-05-20,108.72
1971-05-21,108.85
1971-05-24,108.42
1971-05-25,107.50
1971-05-26,107.53
1971-05-27,107.60
1971-05-28,108.25
1971-06-01,108.87
1971-06-02,109.56
1971-06-03,110.22
1971-06-04,110.66
1971-06-07,110.76
1971-06-08,110.02
1971-06-09,109.79
1971-06-10,110.06
1971-06-11,110.20
1971-06-14,109.57
1971-06-15,109.36
1971-06-16,109.44
1971-06-17,109.44
1971-06-18,108.16
1971-06-21,106.50
1971-06-22,105.49
1971-06-23,105.99
1971-06-24,106.37
1971-06-25,106.56
1971-06-28,106.45
1971-06-29,107.22
1971-06-30,107.80
1971-07-01,108.47
1971-07-02,108.77
1971-07-06,109.23
1971-07-07,110.01
1971-07-08,110.42
1971-07-09,110.91
1971-07-12,111.24
1971-07-13,110.76
1971-07-14,110.34
1971-07-15,110.72
1971-07-16,109.98
1971-07-19,109.37
1971-07-20,109.79
1971-07-21,109.74
1971-07-22,109.54
1971-07-23,109.63
1971-07-26,109.35
1971-07-27,108.57
1971-07-28,107.45
1971-07-29,105.81
1971-07-30,105.27
1971-08-02,105.59
1971-08-03,104.41
1971-08-04,103.26
1971-08-05,103.11
1971-08-06,103.78
1971-08-09,103.18
1971-08-10,103.04
1971-08-11,104.08
1971-08-12,105.21
1971-08-13,105.44
1971-08-16,107.86
1971-08-17,108.93
1971-08-18,108.39
